phase,folder,initiative,brief_number,os_primitive,primitive_path,reuse_or_new,notes
1,01-data-concierge,Data Concierge,6,Agent route,apps/web/src/app/api/agent/route.ts,reuse,Slack and dashboard share via assembleAgentRun
1,01-data-concierge,Data Concierge,6,Slack adapter,packages/adapters/src/notifications/slack.ts,reuse,DM delivery for cited answers
1,01-data-concierge,Data Concierge,6,Tool loader,apps/web/src/lib/agent/tool-loader.ts,reuse,Reads tool_registry per call (no deploy needed for new rows)
1,01-data-concierge,Data Concierge,6,Citation pipeline,apps/web/src/lib/agent/citations.ts,extend,Add 4 new extractors (one per tool)
1,01-data-concierge,Data Concierge,6,Cooldown + push budget,packages/adapters/src/notifications/push-budget.ts,reuse,Reactive only - no proactive push budget consumed
1,01-data-concierge,Data Concierge,6,Telemetry,packages/core/src/telemetry,reuse,emitAgentEvent on every tool call
1,01-data-concierge,Data Concierge,6,Tableau MCP connector,packages/adapters/src/tableau-mcp/,NEW,New adapter implementing ConnectorInterface
1,01-data-concierge,Data Concierge,6,Redash MCP connector (fallback),packages/adapters/src/redash-mcp/,NEW,Optional fallback if Tableau MCP latency is unworkable
1,01-data-concierge,Data Concierge,6,4 new tools,apps/web/src/lib/agent/tools/handlers/data-concierge/,NEW,query_tableau lookup_fulfilment lookup_billing lookup_acp_metric
1,01-data-concierge,Data Concierge,6,Migration 025,packages/db/migrations/025_data_concierge.sql,NEW,tableau_credentials_encrypted + tableau_views_registry + acp_metric_registry
1,01-data-concierge,Data Concierge,6,Migration 026,packages/db/migrations/026_data_concierge_tools.sql,NEW,4 tool_registry rows seeded
1,01-data-concierge,Data Concierge,6,Cache layer,Vercel Runtime Cache,reuse,5-min TTL on Tableau MCP responses (per skills/runtime-cache)
2,02-new-business-execution,New Business Execution,1,pipeline-coach surface,apps/web/src/lib/agent/agents/pipeline-coach.ts,reuse,Daily morning push surface
2,02-new-business-execution,New Business Execution,1,account-strategist surface,apps/web/src/lib/agent/agents/account-strategist.ts,reuse,Account-deep dive on a specific deal
2,02-new-business-execution,New Business Execution,1,pre-call-brief workflow,apps/web/src/lib/workflows/pre-call-brief.ts,extend,Tighten to inject discovery questions tagged by stakeholder pain
2,02-new-business-execution,New Business Execution,1,transcript-signals workflow,apps/web/src/lib/workflows/transcript-signals.ts,reuse,Persists MEDDPICC gaps + objections post-mig 024
