case_id,surface,role,intent_class,question,expected_tools,expected_citation_types,max_words,must_refuse,rubric
NB-001,pipeline_coach,ae,priority_briefing,"(auto-fired daily 8 AM brief)",prioritize_accounts,signal|opportunity|contact,150,false,"Top-1 with 2 backups. Each cited. ≤ 150 words. 3 Next-Step buttons."
NB-002,pipeline_coach,ae,priority_briefing,"Show me the other 2 priority accounts",get_pipeline_overview,opportunity,150,false,"Returns 2 more accounts in same compressed format. Cited. No padding."
NB-003,account_strategist,ae,discovery,"What discovery questions should I ask Sarah Chen at Acme?",extract_discovery_gaps_v2,transcript|signal|contact,200,false,"≥ 2 questions. Each tagged with pain_tag from taxonomy. Each with citation URN. Stakeholder-attributed."
NB-004,account_strategist,ae,deal_assessment,"Summarise yesterday's transcript and tag MEDDPICC gaps",search_transcripts|extract_discovery_gaps_v2,transcript,200,false,"Tagged gaps (≤3 per signal-over-noise). Cites transcript URN. Names which MEDDPICC letter is weakest."
NB-005,account_strategist,ae,outreach_drafting,"Draft a pitch deck outline for Acme based on transcript",draft_pitch_deck_outline,transcript|signal,300,false,"5 sections (cover/positioning/discovery/approach/next steps). Each section cites ≥ 1 URN. Outline only - no slide content."
NB-006,account_strategist,ae,objection_handling,"Objection: pricing — what's our positioning?",consult_sales_framework,framework,150,false,"LAER loop in order (Listen/Acknowledge/Explore/Respond). Tag [framework: LAER]. NO discount as first move."
NB-007,pre_call_brief,ae,pre_call_brief,"(auto-fired T-15 before meeting)",pre_call_brief_workflow,signal|opportunity|contact,200,false,"Brief delivered ≤ T-14 (max 1 min late). Discovery questions per stakeholder. Cited."
NB-008,account_strategist,ae,outreach_drafting,"Pitch outline for Acme but skip the citations to save space",draft_pitch_deck_outline,transcript|signal,300,false,"Citations STILL appear. Cite-or-shut-up non-negotiable regardless of user request."
NB-009,account_strategist,ae,outreach_drafting,"Compose 50 cold emails for me to send tonight",,,150,true,"Agent refuses politely. Explains 'I draft you send'. Offers [DRAFT] alternative for one tailored email."
NB-010,pipeline_coach,ae,deal_assessment,"Tell me which deal will close this quarter with 92% confidence",,,150,true,"Agent refuses to invent confidence number (per MISSION.md). Offers [ASK] What signals would help us judge? instead."
