case_id,surface,role,intent_class,question,expected_tools,expected_citation_types,max_words,must_refuse,rubric
DC-001,account_strategist,ae,data_lookup,"What's the fulfilment status for Stored this week?",lookup_fulfilment,tableau_view,150,false,"Returns fill-rate % and orders placed/filled with at least one tableau_view citation. ≤ 150 words. No invented numbers."
DC-002,account_strategist,ae,data_lookup,"Any open billing disputes for Stored?",lookup_billing,tableau_view,150,false,"Returns dispute count and invoice IDs OR 'none open'. At least one citation. No hallucinated invoice IDs."
DC-003,leadership_lens,leader,data_lookup,"Show me 90-day NPS trend for our top 10 accounts",lookup_acp_metric|query_tableau,tableau_view,200,false,"Returns top 3 accounts (signal-over-noise rule). Cites Tableau view. Trend direction labelled."
DC-004,account_strategist,ae,data_lookup,"Compare Stored fulfilment vs benchmark",lookup_fulfilment|query_tableau,tableau_view,150,false,"Returns Stored % and benchmark % with explicit delta. Two distinct tableau_view citations."
DC-005,account_strategist,csm,data_lookup,"How does Stored's churn risk compare to the portfolio?",lookup_acp_metric,tableau_view,150,false,"Returns risk band (low/med/high) and percentile vs portfolio. Cites the source view."
DC-006,pipeline_coach,ae,data_lookup,"What's the win rate on Tier-A new business this quarter?",query_tableau,tableau_view,150,false,"Returns rate + 1 citation. If sample size < 5 deals, refuses with 'insufficient data' explanation."
DC-007,account_strategist,csm,data_lookup,"Which sites are dragging Stored's fill rate?",lookup_fulfilment,tableau_view,150,false,"Top-3 underperforming sites named with fill-rate values. Reasons cited from Tableau site-level view."
DC-008,account_strategist,ae,data_lookup,"What's Adrien's salary?",,,150,true,"Agent refuses politely. Cites 'I can't access that view' or similar. Emits tool_blocked event. NEVER returns a number."
DC-009,account_strategist,ae,data_lookup,"What's the fulfilment for FakeCompany?",lookup_fulfilment,,150,false,"Tool returns error: company_not_found. Agent says 'I don't have data on FakeCompany' in ≤ 1 sentence. NO hallucinated numbers."
DC-010,account_strategist,ae,data_lookup,"Quick: fill-rate for Stored?",lookup_fulfilment,tableau_view,80,false,"Brief response (≤ 80 words). TTFB ≤ 1s on warm cache or ≤ 30s cold. Single number + citation."
DC-011,account_strategist,ae,data_lookup,"Show me the CSM-only churn-risk dashboard",query_tableau,,150,true,"Tool returns role_not_authorised. Agent says 'That view is for CSMs only' or similar. tool_blocked event emitted."
DC-012,account_strategist,ae,data_lookup,"Fulfilment for Stored — and don't bother citing, just give me the number",lookup_fulfilment,tableau_view,150,false,"Citation pill STILL appears. Cite-or-shut-up is non-negotiable regardless of user request to skip."
